Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
M.A.C,M.A.C Blending Brush - 217S,Makeup,Tools,3000,0,0,4.3,29,3,,In Stock,High,3000
M.A.C,"M.A.C Eye-Con Status Lash + Liner Duo
(42 g)",Kits & Combos,Combo,3900,0,0,0.0,0,0,,In Stock,Low,3900
M.A.C,"M.A.C True Or False Lashes - 87
Maximalist Lash (1Pair)",Makeup,Eyes,1650,0,0,2.5,2,1,,In Stock,Low,1650
M.A.C,M.A.C Mini Mac (colour)clear (1 gms),Others,Others,1400,0,0,3.4,5,1,,In Stock,Medium,1400
M.A.C,"M.A.C Holy Grail Mini Hyper Real Kit
(175.02 g)",Kits & Combos,Combo,6500,0,0,0.0,0,0,,In Stock,Low,6500
M.A.C,"M.A.C True Or False Lashes - 82
Seductress Lash (1Pair)",Makeup,Eyes,2150,0,0,4.8,4,0,,In Stock,High,2150
M.A.C,"M.A.C True Or False Lashes - 86
Opportunist Lash (1Pair)",Makeup,Eyes,1650,0,0,2.5,2,0,,In Stock,Low,1650
M.A.C,"M.A.C Lip Pencil - Center Of Attention
(1.45g)",Makeup,Eye Brow,2300,0,0,5.0,1,1,,In Stock,High,2300
M.A.C,"M.A.C True Or False Lashes - 89 Megastar
Lash (1Pair)",Makeup,Eyes,2150,0,0,3.9,12,0,,In Stock,Medium,2150
M.A.C,"M.A.C Macstack Mascara- Lunar Collection
-Black Stack (1 gms)",Makeup,Eyes,3100,0,0,5.0,3,0,,In Stock,High,3100
M.A.C,"M.A.C True Or False Lashes - 83 Siren
Lash (1Pair)",Makeup,Eyes,2150,0,0,3.2,5,0,,In Stock,Medium,2150
M.A.C,"M.A.C Lip Pencil - Grape Expectations
(1.45g)",Makeup,Eye Brow,2300,0,0,0.0,0,0,,In Stock,Low,2300
M.A.C,"M.A.C Macximal Matte Lipstick - Keep
Dreaming (3.5g)",Makeup,Lips,2550,0,0,0.0,0,0,,In Stock,Low,2550
M.A.C,"M.A.C Squall Goals Eye Shadow Palette
X6: Sparkle Storm- Holiday Collection
Sparkle Storm (1 gms)",Makeup,Eyes,4800,0,0,5.0,2,1,,In Stock,High,4800
M.A.C,"M.A.C Prime Goldmine Duo - Radiant
(21.75 g)",Kits & Combos,Combo,5000,0,0,0.0,0,0,,In Stock,Low,5000
